ID,F,S11,Lfeed,Lp,Lslot,Lslot_plus,Rc,Wfeed,Wp,Wslot,Wslot_plus,t,xsub,ysub
0,1.963210702,-6.104611539,10,30,6,6.65,6,3,32,2,1.7,8.6,43,52
0,1.973244147,-6.15785005,10,30,6,6.65,6,3,32,2,1.7,8.6,43,52
0,1.983277592,-6.21033981,10,30,6,6.65,6,3,32,2,1.7,8.6,43,52
0,1.993311037,-6.262071602,10,30,6,6.65,6,3,32,2,1.7,8.6,43,52
0,2.003344482,-6.31309398,10,30,6,6.65,6,3,32,2,1.7,8.6,43,52
0,2.013377926,-6.363379901,10,30,6,6.65,6,3,32,2,1.7,8.6,43,52
0,2.023411371,-6.412980125,10,30,6,6.65,6,3,32,2,1.7,8.6,43,52
0,2.033444816,-6.461884066,10,30,6,6.65,6,3,32,2,1.7,8.6,43,52
0,2.043478261,-6.510111916,10,30,6,6.65,6,3,32,2,1.7,8.6,43,52
0,2.053511706,-6.557682646,10,30,6,6.65,6,3,32,2,1.7,8.6,43,52
0,2.063545151,-6.604583267,10,30,6,6.65,6,3,32,2,1.7,8.6,43,52
0,2.073578595,-6.650858341,10,30,6,6.65,6,3,32,2,1.7,8.6,43,52
0,2.08361204,-6.696478285,10,30,6,6.65,6,3,32,2,1.7,8.6,43,52
0,2.093645485,-6.741484117,10,30,6,6.65,6,3,32,2,1.7,8.6,43,52
0,2.10367893,-6.785866765,10,30,6,6.65,6,3,32,2,1.7,8.6,43,52
0,2.113712375,-6.829635775,10,30,6,6.65,6,3,32,2,1.7,8.6,43,52
0,2.123745819,-6.872809533,10,30,6,6.65,6,3,32,2,1.7,8.6,43,52
0,2.133779264,-6.915369706,10,30,6,6.65,6,3,32,2,1.7,8.6,43,52
0,2.143812709,-6.957354445,10,30,6,6.65,6,3,32,2,1.7,8.6,43,52
0,2.153846154,-6.998733436,10,30,6,6.65,6,3,32,2,1.7,8.6,43,52
0,2.163879599,-7.039542258,10,30,6,6.65,6,3,32,2,1.7,8.6,43,52
0,2.173913043,-7.079770379,10,30,6,6.65,6,3,32,2,1.7,8.6,43,52
0,2.183946488,-7.119425652,10,30,6,6.65,6,3,32,2,1.7,8.6,43,52
0,2.193979933,-7.158521565,10,30,6,6.65,6,3,32,2,1.7,8.6,43,52
0,2.204013378,-7.197043624,10,30,6,6.65,6,3,32,2,1.7,8.6,43,52
0,2.214046823,-7.235026937,10,30,6,6.65,6,3,32,2,1.7,8.6,43,52
0,2.224080268,-7.272443902,10,30,6,6.65,6,3,32,2,1.7,8.6,43,52
0,2.234113712,-7.309331538,10,30,6,6.65,6,3,32,2,1.7,8.6,43,52
0,2.244147157,-7.345679955,10,30,6,6.65,6,3,32,2,1.7,8.6,43,52
0,2.254180602,-7.381501126,10,30,6,6.65,6,3,32,2,1.7,8.6,43,52
0,2.264214047,-7.416813342,10,30,6,6.65,6,3,32,2,1.7,8.6,43,52
0,2.274247492,-7.45160451,10,30,6,6.65,6,3,32,2,1.7,8.6,43,52
0,2.284280936,-7.485914085,10,30,6,6.65,6,3,32,2,1.7,8.6,43,52
0,2.294314381,-7.51972525,10,30,6,6.65,6,3,32,2,1.7,8.6,43,52
0,2.304347826,-7.55307223,10,30,6,6.65,6,3,32,2,1.7,8.6,43,52
0,2.314381271,-7.585959312,10,30,6,6.65,6,3,32,2,1.7,8.6,43,52
0,2.324414716,-7.618401183,10,30,6,6.65,6,3,32,2,1.7,8.6,43,52
0,2.334448161,-7.650421536,10,30,6,6.65,6,3,32,2,1.7,8.6,43,52
0,2.344481605,-7.682019584,10,30,6,6.65,6,3,32,2,1.7,8.6,43,52
0,2.35451505,-7.713235678,10,30,6,6.65,6,3,32,2,1.7,8.6,43,52
0,2.364548495,-7.74406417,10,30,6,6.65,6,3,32,2,1.7,8.6,43,52
0,2.37458194,-7.774542428,10,30,6,6.65,6,3,32,2,1.7,8.6,43,52
0,2.384615385,-7.804679614,10,30,6,6.65,6,3,32,2,1.7,8.6,43,52
0,2.394648829,-7.834496254,10,30,6,6.65,6,3,32,2,1.7,8.6,43,52
0,2.404682274,-7.864018865,10,30,6,6.65,6,3,32,2,1.7,8.6,43,52
0,2.414715719,-7.893254587,10,30,6,6.65,6,3,32,2,1.7,8.6,43,52
0,2.424749164,-7.922236975,10,30,6,6.65,6,3,32,2,1.7,8.6,43,52
0,2.434782609,-7.950973697,10,30,6,6.65,6,3,32,2,1.7,8.6,43,52
0,2.444816054,-7.979490169,10,30,6,6.65,6,3,32,2,1.7,8.6,43,52
0,2.454849498,-8.007802792,10,30,6,6.65,6,3,32,2,1.7,8.6,43,52
0,2.464882943,-8.035926211,10,30,6,6.65,6,3,32,2,1.7,8.6,43,52
0,2.474916388,-8.063879454,10,30,6,6.65,6,3,32,2,1.7,8.6,43,52
0,2.484949833,-8.091670796,10,30,6,6.65,6,3,32,2,1.7,8.6,43,52
