ID,S11,S21,F,P,D,W,G
0,-1.414026882,-5.981021259,2.123745819,18.5,16.5,1,2
0,-1.390933823,-6.047392144,2.133779264,18.5,16.5,1,2
0,-1.368086182,-6.114410284,2.143812709,18.5,16.5,1,2
0,-1.345481065,-6.182086892,2.153846154,18.5,16.5,1,2
0,-1.323116821,-6.250432254,2.163879599,18.5,16.5,1,2
0,-1.300992275,-6.319455195,2.173913043,18.5,16.5,1,2
0,-1.279106604,-6.389166628,2.183946488,18.5,16.5,1,2
0,-1.257458894,-6.459578307,2.193979933,18.5,16.5,1,2
0,-1.236046152,-6.53070184,2.204013378,18.5,16.5,1,2
0,-1.214867222,-6.602547494,2.214046823,18.5,16.5,1,2
0,-1.193921272,-6.67512816,2.224080268,18.5,16.5,1,2
0,-1.17320785,-6.748454881,2.234113712,18.5,16.5,1,2
0,-1.152724609,-6.82254012,2.244147157,18.5,16.5,1,2
0,-1.132470033,-6.897398906,2.254180602,18.5,16.5,1,2
0,-1.112443282,-6.97304231,2.264214047,18.5,16.5,1,2
0,-1.092644017,-7.049484611,2.274247492,18.5,16.5,1,2
0,-1.073069336,-7.126739579,2.284280936,18.5,16.5,1,2
0,-1.053719459,-7.204820798,2.294314381,18.5,16.5,1,2
0,-1.034592145,-7.28374473,2.304347826,18.5,16.5,1,2
0,-1.015687592,-7.363523563,2.314381271,18.5,16.5,1,2
0,-0.997003638,-7.444174697,2.324414716,18.5,16.5,1,2
0,-0.978539021,-7.52571477,2.334448161,18.5,16.5,1,2
0,-0.960293089,-7.608159365,2.344481605,18.5,16.5,1,2
0,-0.942263619,-7.691525574,2.35451505,18.5,16.5,1,2
0,-0.924451418,-7.775829646,2.364548495,18.5,16.5,1,2
0,-0.906854644,-7.861088935,2.37458194,18.5,16.5,1,2
0,-0.889472729,-7.947325768,2.384615385,18.5,16.5,1,2
0,-0.872304389,-8.034555663,2.394648829,18.5,16.5,1,2
0,-0.855348291,-8.122800581,2.404682274,18.5,16.5,1,2
0,-0.838603182,-8.212078559,2.414715719,18.5,16.5,1,2
0,-0.822069848,-8.302411233,2.424749164,18.5,16.5,1,2
0,-0.805745139,-8.393820922,2.434782609,18.5,16.5,1,2
0,-0.789628511,-8.486328758,2.444816054,18.5,16.5,1,2
0,-0.773719509,-8.579961545,2.454849498,18.5,16.5,1,2
0,-0.758018163,-8.674736476,2.464882943,18.5,16.5,1,2
0,-0.742522769,-8.770680946,2.474916388,18.5,16.5,1,2
0,-0.727231858,-8.867824666,2.484949833,18.5,16.5,1,2
0,-0.712145218,-8.966187537,2.494983278,18.5,16.5,1,2
0,-0.697261216,-9.065798003,2.505016722,18.5,16.5,1,2
0,-0.682580743,-9.166689163,2.515050167,18.5,16.5,1,2
0,-0.668100588,-9.268885026,2.525083612,18.5,16.5,1,2
0,-0.65382212,-9.372418907,2.535117057,18.5,16.5,1,2
0,-0.63974338,-9.477318141,2.545150502,18.5,16.5,1,2
0,-0.62586427,-9.583619134,2.555183946,18.5,16.5,1,2
0,-0.612185389,-9.691371324,2.565217391,18.5,16.5,1,2
0,-0.598704075,-9.8005954,2.575250836,18.5,16.5,1,2
0,-0.585420369,-9.911326384,2.585284281,18.5,16.5,1,2
0,-0.572330975,-10.0235996,2.595317726,18.5,16.5,1,2
0,-0.559438987,-10.13745676,2.605351171,18.5,16.5,1,2
0,-0.546740228,-10.25294096,2.615384615,18.5,16.5,1,2
0,-0.534235901,-10.37008861,2.62541806,18.5,16.5,1,2
0,-0.521924493,-10.4889515,2.635451505,18.5,16.5,1,2
0,-0.509805423,-10.60956717,2.64548495,18.5,16.5,1,2
0,-0.497877513,-10.73198944,2.655518395,18.5,16.5,1,2
0,-0.486140562,-10.85626925,2.665551839,18.5,16.5,1,2
0,-0.474594621,-10.98245417,2.675585284,18.5,16.5,1,2
0,-0.463238117,-11.11060288,2.685618729,18.5,16.5,1,2
0,-0.452069445,-11.24077274,2.695652174,18.5,16.5,1,2
0,-0.44108973,-11.37302138,2.705685619,18.5,16.5,1,2
0,-0.430296963,-11.5074136,2.715719064,18.5,16.5,1,2
0,-0.419691908,-11.64401179,2.725752508,18.5,16.5,1,2
0,-0.409273449,-11.78288538,2.735785953,18.5,16.5,1,2
0,-0.399038587,-11.92411009,2.745819398,18.5,16.5,1,2
0,-0.388990283,-12.06775676,2.755852843,18.5,16.5,1,2
0,-0.3791254,-12.21390835,2.765886288,18.5,16.5,1,2
0,-0.369444575,-12.36264462,2.775919732,18.5,16.5,1,2
0,-0.359946171,-12.51405554,2.785953177,18.5,16.5,1,2
0,-0.350631064,-12.66823495,2.795986622,18.5,16.5,1,2
0,-0.341497042,-12.82527853,2.806020067,18.5,16.5,1,2
0,-0.3325447,-12.98528981,2.816053512,18.5,16.5,1,2
0,-0.323772308,-13.14837382,2.826086957,18.5,16.5,1,2
0,-0.315180303,-13.31464991,2.836120401,18.5,16.5,1,2
0,-0.306768131,-13.48423893,2.846153846,18.5,16.5,1,2
0,-0.298533871,-13.65726691,2.856187291,18.5,16.5,1,2
0,-0.29047836,-13.83387229,2.866220736,18.5,16.5,1,2
0,-0.282600608,-14.01419662,2.876254181,18.5,16.5,1,2
0,-0.274899114,-14.1983979,2.886287625,18.5,16.5,1,2
0,-0.267374946,-14.38663912,2.89632107,18.5,16.5,1,2
0,-0.260026848,-14.57909119,2.906354515,18.5,16.5,1,2
0,-0.252853814,-14.7759445,2.91638796,18.5,16.5,1,2
0,-0.245855328,-14.97739706,2.926421405,18.5,16.5,1,2
0,-0.239031511,-15.18366136,2.936454849,18.5,16.5,1,2
0,-0.232381746,-15.39496447,2.946488294,18.5,16.5,1,2
0,-0.225904745,-15.61154973,2.956521739,18.5,16.5,1,2
0,-0.219600381,-15.83368608,2.966555184,18.5,16.5,1,2
0,-0.213468346,-16.06165356,2.976588629,18.5,16.5,1,2
0,-0.207507896,-16.29575982,2.986622074,18.5,16.5,1,2
0,-0.201719242,-16.53633485,2.996655518,18.5,16.5,1,2
0,-0.196100793,-16.78373569,3.006688963,18.5,16.5,1,2
0,-0.190652109,-17.03835823,3.016722408,18.5,16.5,1,2
0,-0.185372895,-17.30062029,3.026755853,18.5,16.5,1,2
0,-0.180262676,-17.57098856,3.036789298,18.5,16.5,1,2
0,-0.17532163,-17.8499651,3.046822742,18.5,16.5,1,2
0,-0.170547891,-18.13810318,3.056856187,18.5,16.5,1,2
0,-0.165941697,-18.43602103,3.066889632,18.5,16.5,1,2
0,-0.161503826,-18.74438257,3.076923077,18.5,16.5,1,2
0,-0.157231875,-19.06393797,3.086956522,18.5,16.5,1,2
0,-0.153126127,-19.39550726,3.096989967,18.5,16.5,1,2
0,-0.149185736,-19.74001047,3.107023411,18.5,16.5,1,2
0,-0.145410628,-20.09848471,3.117056856,18.5,16.5,1,2
0,-0.141800481,-20.47207397,3.127090301,18.5,16.5,1,2
0,-0.138354529,-20.862083,3.137123746,18.5,16.5,1,2
0,-0.135072177,-21.26999426,3.147157191,18.5,16.5,1,2
0,-0.131953469,-21.69747308,3.157190635,18.5,16.5,1,2
0,-0.128997626,-22.14645192,3.16722408,18.5,16.5,1,2
0,-0.126204307,-22.61912347,3.177257525,18.5,16.5,1,2
0,-0.123573025,-23.11805098,3.18729097,18.5,16.5,1,2
0,-0.121102831,-23.64621988,3.197324415,18.5,16.5,1,2
0,-0.118794066,-24.20709666,3.20735786,18.5,16.5,1,2
0,-0.116646836,-24.80481587,3.217391304,18.5,16.5,1,2
0,-0.114658254,-25.44424262,3.227424749,18.5,16.5,1,2
0,-0.112831409,-26.13122502,3.237458194,18.5,16.5,1,2
0,-0.11116242,-26.87280106,3.247491639,18.5,16.5,1,2
0,-0.109652865,-27.67741014,3.257525084,18.5,16.5,1,2
